date,country,cases,deaths
2020-05-11,Albania,872,31
2020-05-12,Albania,876,31
2020-05-13,Albania,880,31
2020-05-14,Albania,898,31
2020-01-22,Algeria,0,0
2020-01-23,Algeria,0,0
2020-01-24,Algeria,0,0
2020-01-25,Algeria,0,0
2020-01-26,Algeria,0,0
2020-01-27,Algeria,0,0
2020-01-28,Algeria,0,0
2020-01-29,Algeria,0,0
2020-01-30,Algeria,0,0
2020-01-31,Algeria,0,0
2020-02-01,Algeria,0,0
2020-02-02,Algeria,0,0
2020-02-03,Algeria,0,0
2020-02-04,Algeria,0,0
2020-02-05,Algeria,0,0
2020-02-06,Algeria,0,0
2020-02-07,Algeria,0,0
2020-02-08,Algeria,0,0
2020-02-09,Algeria,0,0
2020-02-10,Algeria,0,0
2020-02-11,Algeria,0,0
2020-02-12,Algeria,0,0
2020-02-13,Algeria,0,0
2020-02-14,Algeria,0,0
2020-02-15,Algeria,0,0
2020-02-16,Algeria,0,0
2020-02-17,Algeria,0,0
2020-02-18,Algeria,0,0
2020-02-19,Algeria,0,0
2020-02-20,Algeria,0,0
2020-02-21,Algeria,0,0
2020-02-22,Algeria,0,0
2020-02-23,Algeria,0,0
2020-02-24,Algeria,0,0
2020-02-25,Algeria,1,0
2020-02-26,Algeria,1,0
2020-02-27,Algeria,1,0
2020-02-28,Algeria,1,0
2020-02-29,Algeria,1,0
2020-03-01,Algeria,1,0
2020-03-02,Algeria,3,0
2020-03-03,Algeria,5,0
2020-03-04,Algeria,12,0
2020-03-05,Algeria,12,0
2020-03-06,Algeria,17,0
2020-03-07,Algeria,17,0
2020-03-08,Algeria,19,0
2020-03-09,Algeria,20,0
2020-03-10,Algeria,20,0
2020-03-11,Algeria,20,0
2020-03-12,Algeria,24,1
2020-03-13,Algeria,26,2
2020-03-14,Algeria,37,3
2020-03-15,Algeria,48,4
2020-03-16,Algeria,54,4
2020-03-17,Algeria,60,4
2020-03-18,Algeria,74,7
2020-03-19,Algeria,87,9
2020-03-20,Algeria,90,11
2020-03-21,Algeria,139,15
2020-03-22,Algeria,201,17
2020-03-23,Algeria,230,17
2020-03-24,Algeria,264,19
2020-03-25,Algeria,302,21
2020-03-26,Algeria,367,25
2020-03-27,Algeria,409,26
2020-03-28,Algeria,454,29
2020-03-29,Algeria,511,31
2020-03-30,Algeria,584,35
2020-03-31,Algeria,716,44
2020-04-01,Algeria,847,58
2020-04-02,Algeria,986,86
2020-04-03,Algeria,1171,105
2020-04-04,Algeria,1251,130
2020-04-05,Algeria,1320,152
2020-04-06,Algeria,1423,173
2020-04-07,Algeria,1468,193
2020-04-08,Algeria,1572,205
2020-04-09,Algeria,1666,235
2020-04-10,Algeria,1761,256
2020-04-11,Algeria,1825,275
2020-04-12,Algeria,1914,293
2020-04-13,Algeria,1983,313
2020-04-14,Algeria,2070,326
2020-04-15,Algeria,2160,336
2020-04-16,Algeria,2268,348
2020-04-17,Algeria,2418,364
2020-04-18,Algeria,2534,367
2020-04-19,Algeria,2629,375
2020-04-20,Algeria,2718,384
2020-04-21,Algeria,2811,392
2020-04-22,Algeria,2910,402
2020-04-23,Algeria,3007,407
2020-04-24,Algeria,3127,415
2020-04-25,Algeria,3256,419
2020-04-26,Algeria,3382,425
2020-04-27,Algeria,3517,432
2020-04-28,Algeria,3649,437
2020-04-29,Algeria,3848,444
2020-04-30,Algeria,4006,450
2020-05-01,Algeria,4154,453
2020-05-02,Algeria,4295,459
2020-05-03,Algeria,4474,463
2020-05-04,Algeria,4648,465
2020-05-05,Algeria,4838,470
2020-05-06,Algeria,4997,476
2020-05-07,Algeria,5182,483
2020-05-08,Algeria,5369,488
2020-05-09,Algeria,5558,494
2020-05-10,Algeria,5723,502
2020-05-11,Algeria,5891,507
2020-05-12,Algeria,6067,515
2020-05-13,Algeria,6253,522
2020-05-14,Algeria,6442,529
2020-01-22,Andorra,0,0
2020-01-23,Andorra,0,0
2020-01-24,Andorra,0,0
2020-01-25,Andorra,0,0
2020-01-26,Andorra,0,0
2020-01-27,Andorra,0,0
2020-01-28,Andorra,0,0
2020-01-29,Andorra,0,0
2020-01-30,Andorra,0,0
2020-01-31,Andorra,0,0
2020-02-01,Andorra,0,0
2020-02-02,Andorra,0,0
2020-02-03,Andorra,0,0
2020-02-04,Andorra,0,0
2020-02-05,Andorra,0,0
2020-02-06,Andorra,0,0
2020-02-07,Andorra,0,0
2020-02-08,Andorra,0,0
2020-02-09,Andorra,0,0
2020-02-10,Andorra,0,0
2020-02-11,Andorra,0,0
2020-02-12,Andorra,0,0
2020-02-13,Andorra,0,0
2020-02-14,Andorra,0,0
2020-02-15,Andorra,0,0
2020-02-16,Andorra,0,0
2020-02-17,Andorra,0,0
2020-02-18,Andorra,0,0
2020-02-19,Andorra,0,0
2020-02-20,Andorra,0,0
2020-02-21,Andorra,0,0
2020-02-22,Andorra,0,0
2020-02-23,Andorra,0,0
2020-02-24,Andorra,0,0
2020-02-25,Andorra,0,0
2020-02-26,Andorra,0,0
2020-02-27,Andorra,0,0
2020-02-28,Andorra,0,0
2020-02-29,Andorra,0,0
2020-03-01,Andorra,0,0
2020-03-02,Andorra,1,0
2020-03-03,Andorra,1,0
2020-03-04,Andorra,1,0
2020-03-05,Andorra,1,0
2020-03-06,Andorra,1,0
2020-03-07,Andorra,1,0
2020-03-08,Andorra,1,0
2020-03-09,Andorra,1,0
2020-03-10,Andorra,1,0
2020-03-11,Andorra,1,0
2020-03-12,Andorra,1,0
2020-03-13,Andorra,1,0
2020-03-14,Andorra,1,0
2020-03-15,Andorra,1,0
2020-03-16,Andorra,2,0
2020-03-17,Andorra,39,0
2020-03-18,Andorra,39,0
2020-03-19,Andorra,53,0
2020-03-20,Andorra,75,0
2020-03-21,Andorra,88,0
2020-03-22,Andorra,113,1
2020-03-23,Andorra,133,1
2020-03-24,Andorra,164,1
2020-03-25,Andorra,188,1
2020-03-26,Andorra,224,3
2020-03-27,Andorra,267,3
2020-03-28,Andorra,308,3
2020-03-29,Andorra,334,6
2020-03-30,Andorra,370,8
2020-03-31,Andorra,376,12
2020-04-01,Andorra,390,14
2020-04-02,Andorra,428,15
2020-04-03,Andorra,439,16
2020-04-04,Andorra,466,17
2020-04-05,Andorra,501,18
2020-04-06,Andorra,525,21
2020-04-07,Andorra,545,22
2020-04-08,Andorra,564,23
2020-04-09,Andorra,583,25
2020-04-10,Andorra,601,26
2020-04-11,Andorra,601,26
2020-04-12,Andorra,638,29
2020-04-13,Andorra,646,29
2020-04-14,Andorra,659,31
2020-04-15,Andorra,673,33
2020-04-16,Andorra,673,33
2020-04-17,Andorra,696,35
2020-04-18,Andorra,704,35
2020-04-19,Andorra,713,36
2020-04-20,Andorra,717,37
2020-04-21,Andorra,717,37
2020-04-22,Andorra,723,37
2020-04-23,Andorra,723,37
2020-04-24,Andorra,731,40
2020-04-25,Andorra,738,40
2020-04-26,Andorra,738,40
2020-04-27,Andorra,743,40
2020-04-28,Andorra,743,41
2020-04-29,Andorra,743,42
2020-04-30,Andorra,745,42
2020-05-01,Andorra,745,43
2020-05-02,Andorra,747,44
2020-05-03,Andorra,748,45
2020-05-04,Andorra,750,45
2020-05-05,Andorra,751,46
2020-05-06,Andorra,751,46
2020-05-07,Andorra,752,47
2020-05-08,Andorra,752,47
2020-05-09,Andorra,754,48
2020-05-10,Andorra,755,48
2020-05-11,Andorra,755,48
2020-05-12,Andorra,758,48
2020-05-13,Andorra,760,49
2020-05-14,Andorra,761,49
2020-01-22,Angola,0,0
2020-01-23,Angola,0,0
2020-01-24,Angola,0,0
2020-01-25,Angola,0,0
2020-01-26,Angola,0,0
2020-01-27,Angola,0,0
2020-01-28,Angola,0,0
2020-01-29,Angola,0,0
2020-01-30,Angola,0,0
2020-01-31,Angola,0,0
2020-02-01,Angola,0,0
2020-02-02,Angola,0,0
2020-02-03,Angola,0,0
2020-02-04,Angola,0,0
2020-02-05,Angola,0,0
2020-02-06,Angola,0,0
2020-02-07,Angola,0,0
2020-02-08,Angola,0,0
2020-02-09,Angola,0,0
2020-02-10,Angola,0,0
2020-02-11,Angola,0,0
2020-02-12,Angola,0,0
2020-02-13,Angola,0,0
2020-02-14,Angola,0,0
2020-02-15,Angola,0,0
2020-02-16,Angola,0,0
2020-02-17,Angola,0,0
2020-02-18,Angola,0,0
2020-02-19,Angola,0,0
2020-02-20,Angola,0,0
2020-02-21,Angola,0,0
2020-02-22,Angola,0,0
2020-02-23,Angola,0,0
2020-02-24,Angola,0,0
2020-02-25,Angola,0,0
2020-02-26,Angola,0,0
2020-02-27,Angola,0,0
2020-02-28,Angola,0,0
2020-02-29,Angola,0,0
2020-03-01,Angola,0,0
2020-03-02,Angola,0,0
2020-03-03,Angola,0,0
2020-03-04,Angola,0,0
2020-03-05,Angola,0,0
2020-03-06,Angola,0,0
2020-03-07,Angola,0,0
2020-03-08,Angola,0,0
2020-03-09,Angola,0,0
2020-03-10,Angola,0,0
2020-03-11,Angola,0,0
2020-03-12,Angola,0,0
2020-03-13,Angola,0,0
2020-03-14,Angola,0,0
2020-03-15,Angola,0,0
2020-03-16,Angola,0,0
2020-03-17,Angola,0,0
2020-03-18,Angola,0,0
2020-03-19,Angola,0,0
2020-03-20,Angola,1,0
2020-03-21,Angola,2,0
2020-03-22,Angola,2,0
2020-03-23,Angola,3,0
2020-03-24,Angola,3,0
2020-03-25,Angola,3,0
2020-03-26,Angola,4,0
2020-03-27,Angola,4,0
2020-03-28,Angola,5,0
2020-03-29,Angola,7,2
2020-03-30,Angola,7,2
2020-03-31,Angola,7,2
2020-04-01,Angola,8,2
2020-04-02,Angola,8,2
2020-04-03,Angola,8,2
2020-04-04,Angola,10,2
2020-04-05,Angola,14,2
2020-04-06,Angola,16,2
2020-04-07,Angola,17,2
2020-04-08,Angola,19,2
2020-04-09,Angola,19,2
2020-04-10,Angola,19,2
2020-04-11,Angola,19,2
2020-04-12,Angola,19,2
2020-04-13,Angola,19,2
2020-04-14,Angola,19,2
2020-04-15,Angola,19,2
2020-04-16,Angola,19,2
2020-04-17,Angola,19,2
2020-04-18,Angola,24,2
2020-04-19,Angola,24,2
2020-04-20,Angola,24,2
2020-04-21,Angola,24,2
2020-04-22,Angola,25,2
2020-04-23,Angola,25,2
2020-04-24,Angola,25,2
2020-04-25,Angola,25,2
2020-04-26,Angola,26,2
2020-04-27,Angola,27,2
2020-04-28,Angola,27,2
2020-04-29,Angola,27,2
2020-04-30,Angola,27,2
2020-05-01,Angola,30,2
2020-05-02,Angola,35,2
2020-05-03,Angola,35,2
2020-05-04,Angola,35,2
2020-05-05,Angola,36,2
2020-05-06,Angola,36,2
2020-05-07,Angola,36,2
2020-05-08,Angola,43,2
2020-05-09,Angola,43,2
2020-05-10,Angola,45,2
2020-05-11,Angola,45,2
2020-05-12,Angola,45,2
2020-05-13,Angola,45,2
2020-05-14,Angola,48,2
2020-01-22,Anguilla,0,0
2020-01-23,Anguilla,0,0
2020-01-24,Anguilla,0,0
2020-01-25,Anguilla,0,0
2020-01-26,Anguilla,0,0
2020-01-27,Anguilla,0,0
2020-01-28,Anguilla,0,0
2020-01-29,Anguilla,0,0
2020-01-30,Anguilla,0,0
2020-01-31,Anguilla,0,0
2020-02-01,Anguilla,0,0
2020-02-02,Anguilla,0,0
2020-02-03,Anguilla,0,0
2020-02-04,Anguilla,0,0
2020-02-05,Anguilla,0,0
2020-02-06,Anguilla,0,0
2020-02-07,Anguilla,0,0
2020-02-08,Anguilla,0,0
2020-02-09,Anguilla,0,0
2020-02-10,Anguilla,0,0
2020-02-11,Anguilla,0,0
2020-02-12,Anguilla,0,0
2020-02-13,Anguilla,0,0
2020-02-14,Anguilla,0,0
2020-02-15,Anguilla,0,0
2020-02-16,Anguilla,0,0
2020-02-17,Anguilla,0,0
2020-02-18,Anguilla,0,0
2020-02-19,Anguilla,0,0
2020-02-20,Anguilla,0,0
2020-02-21,Anguilla,0,0
2020-02-22,Anguilla,0,0
2020-02-23,Anguilla,0,0
2020-02-24,Anguilla,0,0
2020-02-25,Anguilla,0,0
2020-02-26,Anguilla,0,0
2020-02-27,Anguilla,0,0
2020-02-28,Anguilla,0,0
2020-02-29,Anguilla,0,0
2020-03-01,Anguilla,0,0
2020-03-02,Anguilla,0,0
2020-03-03,Anguilla,0,0
2020-03-04,Anguilla,0,0
2020-03-05,Anguilla,0,0
2020-03-06,Anguilla,0,0
2020-03-07,Anguilla,0,0
2020-03-08,Anguilla,0,0
2020-03-09,Anguilla,0,0
2020-03-10,Anguilla,0,0
2020-03-11,Anguilla,0,0
2020-03-12,Anguilla,0,0
2020-03-13,Anguilla,0,0
2020-03-14,Anguilla,0,0
2020-03-15,Anguilla,0,0
2020-03-16,Anguilla,0,0
2020-03-17,Anguilla,0,0
2020-03-18,Anguilla,0,0
2020-03-19,Anguilla,0,0
2020-03-20,Anguilla,0,0
2020-03-21,Anguilla,0,0
2020-03-22,Anguilla,0,0
2020-03-23,Anguilla,0,0
2020-03-24,Anguilla,0,0
2020-03-25,Anguilla,0,0
2020-03-26,Anguilla,0,0
2020-03-27,Anguilla,0,0
2020-03-28,Anguilla,2,0
2020-03-29,Anguilla,2,0
2020-03-30,Anguilla,2,0
2020-03-31,Anguilla,2,0
2020-04-01,Anguilla,2,0
2020-04-02,Anguilla,3,0
2020-04-03,Anguilla,3,0
2020-04-04,Anguilla,3,0
2020-04-05,Anguilla,3,0
2020-04-06,Anguilla,3,0
2020-04-07,Anguilla,3,0
2020-04-08,Anguilla,3,0
2020-04-09,Anguilla,3,0
2020-04-10,Anguilla,3,0
2020-04-11,Anguilla,3,0
2020-04-12,Anguilla,3,0
2020-04-13,Anguilla,3,0
2020-04-14,Anguilla,3,0
2020-04-15,Anguilla,3,0
2020-04-16,Anguilla,3,0
2020-04-17,Anguilla,3,0
2020-04-18,Anguilla,3,0
2020-04-19,Anguilla,3,0
2020-04-20,Anguilla,3,0
2020-04-21,Anguilla,3,0
2020-04-22,Anguilla,3,0
2020-04-23,Anguilla,3,0
2020-04-24,Anguilla,3,0
2020-04-25,Anguilla,3,0
2020-04-26,Anguilla,3,0
2020-04-27,Anguilla,3,0
2020-04-28,Anguilla,3,0
2020-04-29,Anguilla,3,0
2020-04-30,Anguilla,3,0
2020-05-01,Anguilla,3,0
2020-05-02,Anguilla,3,0
2020-05-03,Anguilla,3,0
2020-05-04,Anguilla,3,0
2020-05-05,Anguilla,3,0
2020-05-06,Anguilla,3,0
2020-05-07,Anguilla,3,0
2020-05-08,Anguilla,3,0
2020-05-09,Anguilla,3,0
2020-05-10,Anguilla,3,0
2020-05-11,Anguilla,3,0
2020-05-12,Anguilla,3,0
2020-05-13,Anguilla,3,0
2020-05-14,Anguilla,3,0
2020-01-22,Antigua and Barbuda,0,0
2020-01-23,Antigua and Barbuda,0,0
2020-01-24,Antigua and Barbuda,0,0
2020-01-25,Antigua and Barbuda,0,0
2020-01-26,Antigua and Barbuda,0,0
2020-01-27,Antigua and Barbuda,0,0
2020-01-28,Antigua and Barbuda,0,0
2020-01-29,Antigua and Barbuda,0,0
2020-01-30,Antigua and Barbuda,0,0
2020-01-31,Antigua and Barbuda,0,0
2020-02-01,Antigua and Barbuda,0,0
2020-02-02,Antigua and Barbuda,0,0
2020-02-03,Antigua and Barbuda,0,0
2020-02-04,Antigua and Barbuda,0,0
2020-02-05,Antigua and Barbuda,0,0
2020-02-06,Antigua and Barbuda,0,0
2020-02-07,Antigua and Barbuda,0,0
2020-02-08,Antigua and Barbuda,0,0
2020-02-09,Antigua and Barbuda,0,0
2020-02-10,Antigua and Barbuda,0,0
2020-02-11,Antigua and Barbuda,0,0
2020-02-12,Antigua and Barbuda,0,0
2020-02-13,Antigua and Barbuda,0,0
2020-02-14,Antigua and Barbuda,0,0
2020-02-15,Antigua and Barbuda,0,0
2020-02-16,Antigua and Barbuda,0,0
2020-02-17,Antigua and Barbuda,0,0
2020-02-18,Antigua and Barbuda,0,0
2020-02-19,Antigua and Barbuda,0,0
2020-02-20,Antigua and Barbuda,0,0
2020-02-21,Antigua and Barbuda,0,0
2020-02-22,Antigua and Barbuda,0,0
2020-02-23,Antigua and Barbuda,0,0
2020-02-24,Antigua and Barbuda,0,0
2020-02-25,Antigua and Barbuda,0,0
2020-02-26,Antigua and Barbuda,0,0
2020-02-27,Antigua and Barbuda,0,0
2020-02-28,Antigua and Barbuda,0,0
2020-02-29,Antigua and Barbuda,0,0
2020-03-01,Antigua and Barbuda,0,0
2020-03-02,Antigua and Barbuda,0,0
2020-03-03,Antigua and Barbuda,0,0
2020-03-04,Antigua and Barbuda,0,0
2020-03-05,Antigua and Barbuda,0,0
2020-03-06,Antigua and Barbuda,0,0
2020-03-07,Antigua and Barbuda,0,0
2020-03-08,Antigua and Barbuda,0,0
2020-03-09,Antigua and Barbuda,0,0
2020-03-10,Antigua and Barbuda,0,0
2020-03-11,Antigua and Barbuda,0,0
2020-03-12,Antigua and Barbuda,0,0
2020-03-13,Antigua and Barbuda,1,0
2020-03-14,Antigua and Barbuda,1,0
2020-03-15,Antigua and Barbuda,1,0
2020-03-16,Antigua and Barbuda,1,0
2020-03-17,Antigua and Barbuda,1,0
2020-03-18,Antigua and Barbuda,1,0
2020-03-19,Antigua and Barbuda,1,0
2020-03-20,Antigua and Barbuda,1,0
2020-03-21,Antigua and Barbuda,1,0
2020-03-22,Antigua and Barbuda,1,0
2020-03-23,Antigua and Barbuda,3,0
2020-03-24,Antigua and Barbuda,3,0
2020-03-25,Antigua and Barbuda,3,0
2020-03-26,Antigua and Barbuda,7,0
2020-03-27,Antigua and Barbuda,7,0
2020-03-28,Antigua and Barbuda,7,0
2020-03-29,Antigua and Barbuda,7,0
2020-03-30,Antigua and Barbuda,7,0
2020-03-31,Antigua and Barbuda,7,0
2020-04-01,Antigua and Barbuda,7,0
2020-04-02,Antigua and Barbuda,9,0
2020-04-03,Antigua and Barbuda,15,0
2020-04-04,Antigua and Barbuda,15,0
2020-04-05,Antigua and Barbuda,15,0
2020-04-06,Antigua and Barbuda,15,0
2020-04-07,Antigua and Barbuda,19,1
2020-04-08,Antigua and Barbuda,19,2
2020-04-09,Antigua and Barbuda,19,2
2020-04-10,Antigua and Barbuda,19,2
2020-04-11,Antigua and Barbuda,21,2
2020-04-12,Antigua and Barbuda,21,2
2020-04-13,Antigua and Barbuda,23,2
2020-04-14,Antigua and Barbuda,23,2
2020-04-15,Antigua and Barbuda,23,2
2020-04-16,Antigua and Barbuda,23,3
2020-04-17,Antigua and Barbuda,23,3
2020-04-18,Antigua and Barbuda,23,3
2020-04-19,Antigua and Barbuda,23,3
2020-04-20,Antigua and Barbuda,23,3
2020-04-21,Antigua and Barbuda,23,3
2020-04-22,Antigua and Barbuda,24,3
2020-04-23,Antigua and Barbuda,24,3
2020-04-24,Antigua and Barbuda,24,3
2020-04-25,Antigua and Barbuda,24,3
2020-04-26,Antigua and Barbuda,24,3
2020-04-27,Antigua and Barbuda,24,3
2020-04-28,Antigua and Barbuda,24,3
2020-04-29,Antigua and Barbuda,24,3
2020-04-30,Antigua and Barbuda,24,3
2020-05-01,Antigua and Barbuda,25,3
2020-05-02,Antigua and Barbuda,25,3
2020-05-03,Antigua and Barbuda,25,3
2020-05-04,Antigua and Barbuda,25,3
2020-05-05,Antigua and Barbuda,25,3
2020-05-06,Antigua and Barbuda,25,3
2020-05-07,Antigua and Barbuda,25,3
2020-05-08,Antigua and Barbuda,25,3
2020-05-09,Antigua and Barbuda,25,3
2020-05-10,Antigua and Barbuda,25,3
2020-05-11,Antigua and Barbuda,25,3
2020-05-12,Antigua and Barbuda,25,3
2020-05-13,Antigua and Barbuda,25,3
2020-05-14,Antigua and Barbuda,25,3
2020-01-22,Argentina,0,0
2020-01-23,Argentina,0,0
2020-01-24,Argentina,0,0
2020-01-25,Argentina,0,0
2020-01-26,Argentina,0,0
2020-01-27,Argentina,0,0
2020-01-28,Argentina,0,0
2020-01-29,Argentina,0,0
2020-01-30,Argentina,0,0
2020-01-31,Argentina,0,0
2020-02-01,Argentina,0,0
2020-02-02,Argentina,0,0
2020-02-03,Argentina,0,0
2020-02-04,Argentina,0,0
2020-02-05,Argentina,0,0
2020-02-06,Argentina,0,0
2020-02-07,Argentina,0,0
2020-02-08,Argentina,0,0
2020-02-09,Argentina,0,0
2020-02-10,Argentina,0,0
2020-02-11,Argentina,0,0
